管理番号,管轄会社,優先,都道府県名,（採）拠点,求人No.,企業名,形態,募集人数,職種,勤務地,資格,勤務時間,休日,時給/日給,月収目安,月収例内訳,年収目安,シフト,最寄り駅,通勤手段,交通費,寮費,寮形態,年齢,性別,TT（50057-01ダイハツ九州以外和彫り不可）,色弱,カップル,外国籍,サイズ制限,案件備考,紹介料,特約事項（定着）,備考（紹介料）,面接〆切,赴任日,入社日,選考にかかる日数,最終紹介日⇒入社日,勤務地市町村
os27,OS,,北海道,(採)札幌,758000,日本ホワイトファーム,派遣,0名,鶏舎内で鶏を捕まえケースに入れ、食品工場に出荷するお仕事,北海道網走市字藻琴230番地4,"【必要資格】 ・特になし 【契約期間】 ・6ヶ月更新 【試用期間】 ・2週間( 1,700円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①05:10～14:10　休憩78分,日曜、水曜,"1,700円/時",33.8万円程度,勤務/22日 残業/20H 深夜/20H 休出/0H,405万円程度,日勤,鱒浦駅,車、送迎あり,上限3万円迄/月,-,寮対応無,40歳迄,男性のみ,不可,不可,不可,不可,4L迄,※近場の寮が用意できるまで寮対応なしとなります。  ・車通勤可、送迎有 ※事務所に集合し、企業のバスにて就業場所に移動します。 日々、就業場所は変更します。（鳥インフルエンザが発生する事を考慮し、鶏舎を分散させているため。） 就業場所が遠隔地の場合、早出残業が発生します。 ,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 網走市
os28,OS,,北海道,(採)札幌,757970,日本ホワイトファーム,派遣,0名,鶏舎内での鶏糞の除去作業、及び洗浄作業,北海道網走市字藻琴230番地4,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,250円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:00～17:10　休憩91分,日曜、水曜,"1,250円/時",22.7万円程度,勤務/22日 残業/10H 深夜/0H 休出/0H,273万円程度,日勤,鱒浦駅,車,上限3万円迄/月,-,寮対応無,50歳迄,男性のみ,不可,不可,不可,不可,4L迄,・車通勤のみ,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 網走市
os29,OS,,北海道,(採)札幌,758092,日本ホワイトファーム,派遣,0名,卵の選別、洗浄、格納作業,北海道網走市字藻琴230番地4,"【必要資格】 ・特になし 【契約期間】 ・6ヶ月更新 【試用期間】 ・2週間( 1,250円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",08:00～17:00　休憩91分,日曜＋平日1日,"1,250円/時",22.4万円程度,勤務/22日 残業/10H 深夜/0H 休出/0H,266万円程度,日勤,鱒浦駅,車,上限3万円迄/月,-,寮対応無,50歳迄,男女可,不可,不可,不可,不可,4L迄,・車通勤可,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 網走市
os30,OS,,北海道,(採)札幌,59933,日本フードパッカー　道東工場,派遣,0名,牛肉、豚肉の整形、除骨作業　他,北海道網走市藻琴35番地1,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,200円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:00～17:00　休憩70分,土日,"1,200円/時",22万円程度,勤務/21日 残業/20H 深夜/0H 休出/7.84H,266万円程度,日勤,藻琴駅,車,上限3万円迄/月,無料,個室寮,59歳迄,男女可,不可,不可,不可,不可,4L迄,・車通勤可,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 網走市
os31,OS,,北海道,(採)札幌,366399,春雨さぶーる,派遣,0名,ハム・ソーセージ食品加工製造,北海道勇払郡安平町遠浅40番地の１,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,026円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①09:00～17:00　休憩60分,水・日 ※月2土曜日,"1,026円/時",16.4万円程度,勤務/21日 残業/10H 深夜/0H 休出/0H,197万円程度,日勤,早来駅,車 ※苫小牧から送迎有(送迎ルートあり),上限3万円迄/月,-,寮対応無,59歳迄,男女可,不可,不可,不可,不可,4L迄,・車通勤可、苫小牧から送迎有(送迎ルートあり)　ルートから外れる方は車通勤のみ,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 勇払郡安平町
os32,OS,,北海道,(採)札幌,144304,光生アルミ,派遣,2名,アルミホイール製造,北海道苫小牧市柏原6番355,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,150円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:00～17:00　休憩70分 ②20:00～05:10　休憩70分 ③08:00～17:00　休憩60分 ④15:00～00:00　休憩60分 ⑤23:00～08:00　休憩60分,土日 2交代もしくは3交代,"1,150円/時",25.7万円程度,勤務/21日 残業/30H 深夜/35H 休出/8H,308万円程度,2交替又は3交替,沼ノ端駅,車 送迎,上限3万円迄/月,無料,個室寮,50歳迄 ※製造経験あり体力のある方は55歳迄（面接後判断）,男性のみ,不可,不可,不可,不可,4L迄,5勤2休※部署によって2交代と3交代で別れますが配属現場は選べません。,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 苫小牧市
os33,OS,,北海道,(採)札幌,626424,デンソー北海道,派遣,0名,車載用半導体製品の製造,北海道千歳市泉沢1007番地195,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,120円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①08:40～19:10　休憩60分 ②19:10～05:40　休憩60分,1年単位変形労働制,"1,120円/時",25.7万円程度,勤務/16.5日 残業/30H 深夜/48.5H 休出/19H,308万円程度,2交替,千歳駅,車 送迎,上限3万円迄/月,無料,個室寮,49歳迄 ,男女可,不可,不可,不可,不可,5L迄,3組2交替　シフト制  1日450円×勤務日数分の食事代補助あり,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 千歳市
os34,OS,,北海道,(採)札幌,694448,パナソニックインダストリー北海道,派遣,2名,電子部品の検査・製造,北海道千歳市長都1037番地2号,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,250円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:30～17:00　休憩45分 ※月に0～4回程度 ②08:30～20:45　休憩105分 ③20:30～08:45　休憩105分 原則②③の2交代制勤務,シフト制 ※5勤3休,"1,250円/時",26.4万円程度,勤務/18.5日 残業/5H 深夜/43.75H 休出/0H,317万円程度,2交替,長都駅,車,上限3万円迄/月,無料,個室寮,45歳迄,男女可,不可,不可,不可,不可,4L迄,-,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 千歳市
os35,OS,,北海道,(採)札幌,1369387,日鉄ファーストテック,派遣,0名,棒鋼・線材製品の二次加工業務、鋼片の各種検査、精製作業,北海道室蘭市仲町12番地,"【必要資格】 ・フォークリフトorクレーン、玉掛所持者なお可 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,700円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①07:30～15:30　休憩45分 ②15:30～23:30　休憩45分 ③23:30～07:30　休憩45分,シフト制,"1,700円/時",34.6万円程度,勤務/21日 残業/30H 深夜/35H 休出/8H,415万円程度,3交替,室蘭駅,車,上限3万円迄/月,無料,個室寮,39歳迄,男性のみ,不可,不可,不可,不可,4L迄,■車持ち込みできる方のみ紹介可  ■入社祝い金10万円あり ※入社月を起算として、翌月末在籍を確認でき、かつ出勤率95％を条件として入社、翌々月にて10万円 ※遅刻・早退は欠勤扱い,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,赴任随時 工場見学随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 室蘭市
os36,OS,,北海道,(採)札幌,12403-01,デクセリアルズフォトニクスソリューションズ,派遣,0名,ウエハーの製造全般(マシンオペレーター、検査など)、顕微鏡を使用して半導体の組?検査(座り作業),北海道恵庭市戸磯385番地31,"【必要資格】 ・半導体製造経験者or終日顕微鏡検査のできる方 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,320円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",08:30～17:30　休憩60分 17:00～02:00　休憩60分,土日,"1,320円/時",25.1万円程度,勤務/21日 残業/10H 深夜/40H 休出/0H,300万円程度,2交替,恵庭駅,車,上限3万円迄/月,実費,個室寮,40歳迄,男性のみ,不可,不可,不可,不可,4L迄,・車持ち込みできる方のみ ※電子部品製造経験者尚可,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 恵庭市
os37,OS,,北海道,(採)札幌,1000036,大塚製薬,派遣,0名,医薬品製造(3交替),北海道釧路市音別町朝日1-13,"【必要資格】 ・自宅から通勤希望者は紹介不可 ※入寮できる方のみ 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,350円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:00～16:30　休憩60分 ②16:00～00:30　休憩60分 ③00:00～8:30　休憩60分,シフト制,"1,350円/時",27.3万円程度,勤務/21日 残業/20H 深夜/44H 休出/7.5H,327万円程度,3交替,音別駅,車、徒歩,上限3万円迄/月,無料,下宿寮,55歳迄,男性のみ,不可,不可,不可,不可,5L迄,・車通勤可、寮は一般の下宿に入寮。,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週月曜日,3～4日程度,随時問い合わせ,北海道 釧路市
os38,OS,,北海道,(採)札幌,773221,とかち製菓本社工場,派遣,0名,和菓子製造 １、ライン作業（立作業） ※原料流し、計量、付属製品（爪楊枝等）取り付け、ラベル貼り等  ２、商品箱詰め業務 ※出来上がった商品の箱詰め、出荷用段ボール作成 ,北海道河西郡中札内村中札内西2線241-15,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,100円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①09:00～17:30　休憩60分,日曜＋1日,"1,100円/時",16.8万円程度,勤務/20日 残業/0H 深夜/0H 休出/0H,202万円程度,日勤,帯広駅,車,上限3万円迄/月,-,寮対応無,59歳迄,男女可,不可,不可,可,不可,4L迄,・車通勤可,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週月曜日,4～5日程度,随時問い合わせ,北海道 河西郡中札内村
os39,OS,,北海道,(採)札幌,1046453,佐川急便,派遣,0名,倉庫内ピッキング業務,北海道帯広市西23条北1丁目15-24,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,082円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①21:00～06:00　休憩60分,シフト制,"1,086円/時",25.2万円程度,勤務/20日 残業/10H 深夜/120H 休出/24H,303万円程度,夜勤,西帯広駅,車,上限3万円迄/月,寮費実費,個室寮,60歳迄,男性のみ,不可,不可,不可,不可,4L迄,・車通勤可,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週木曜日,4～5日程度,随時問い合わせ,北海道 帯広市
os40,OS,,北海道,(採)札幌,584390,パナソニックスイッチングテクノロジーズ,派遣,0名,小型部品の製造工程で製造機械に部材をセットやオペレーター業務 ,北海道帯広市西25条北1丁目2番1号,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,050円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:45～17:15　休憩45分 ②13:30～22:00 　休憩45分,フルタイム2交替 5勤2休（土日以外） ,"1,050円/時",17.8万円程度,勤務/21日 残業/10H 深夜/20H 休出/7.75H,213万円程度,2交替,西帯広駅,車,上限3万円迄/月,3.5万円～4.8万円程度,レオパレス,55歳迄,男女可,不可,可,可,不可,4L迄,・車通勤可,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週月曜日,4～5日程度,随時問い合わせ,北海道 帯広市
os41,OS,,北海道,(採)札幌,584421,パナソニックスイッチングテクノロジーズ,派遣,2名,小型部品の製造工程で製造機械に部材をセットやオペレーター業務 ,北海道帯広市西25条北1丁目2番1号,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,075円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:30～20:40　休憩100分 ②20:30～08:40　休憩100分,シフト制 1ヵ月の変形労働制　月14日間ほどの出勤,"1,075円/時",16.7万円程度,勤務/14日 残業/0H 深夜/36H 休出/0H,200万円程度,2交替,西帯広駅,車,上限3万円迄/月,3.5万円～4.8万円程度,レオパレス,55歳迄,男女可,不可,可,可,不可,4L迄,・車通勤可,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週月曜日,4～5日程度,随時問い合わせ,北海道 帯広市
